round,strategy,display_name,role,policy,transition_variant,gate_mode,seed_index,transition_l1_error,off_support_leakage,reward_pct_oracle,top1_agreement,top2_agreement
100,TW,TW,TW,tw,dense,deterministic,9,0.1924313093738004,0.029414099432878614,84.76637140925193,0.49,0.66
100,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,9,0.16839113503920264,0.03833704255941837,87.82945677831418,0.56,0.77
100,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,9,0.18161320575404152,0.03877429545303535,87.55181485584188,0.5,0.7
100,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,9,0.1887309716332584,0.05018950765714129,82.55399919809929,0.39,0.67
100,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,9,0.17504748781396984,0.03853371685792417,88.06169887404764,0.41,0.75
100,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,9,0.177421529920671,0.04710682795419446,89.64816667045692,0.53,0.78
100,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,9,0.10982213081394598,0.02527415651053202,94.41037725212874,0.58,0.8
100,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,9,0.11035499504503099,0.0255184717703192,94.28613929450454,0.56,0.82
100,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,9,0.11949428047819678,0.026405583769961227,97.53830307499479,0.69,0.84
100,Adp. + beta gate prior,Beta-gate prior,Refined TM-TW,tm_tw_refined,gated_offline,beta,9,0.09630779019673624,0.025425792950793516,82.40368010958649,0.53,0.79
100,Adp. + beta gate + LR,Beta-gate + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,beta,9,0.11487513881761038,0.02624534238605663,82.34595091569223,0.55,0.87
100,Adp. + support/offline,Support + offline,Refined TM-TW,tm_tw_refined,support_offline,deterministic,9,0.07810489796230366,2.3018165962353872e-07,97.17604420699654,0.71,0.87
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,0,0.1033699267126912,0.0207376520993036,97.86973785353352,0.672,0.881
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,1,0.1068379601669783,0.0215679507977345,97.22358852605544,0.72,0.893
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,2,0.0940497959290287,0.0242031513418206,99.24657280786882,0.537,0.751
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,3,0.103966344141658,0.0273403447536263,97.23976420258523,0.689,0.833
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,4,0.1077321684747548,0.0252942791384542,95.27860665518875,0.677,0.856
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,5,0.1072595854242905,0.0298651053112958,100.31738391833916,0.724,0.894
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,6,0.1078135367795965,0.0300554393858533,98.96658484083898,0.599,0.748
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,7,0.1132489745626615,0.0322482034690557,100.1555319896927,0.627,0.833
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,8,0.1206298854256316,0.025493696409458,90.05323224765863,0.524,0.77
1000,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,9,0.1047634755741726,0.0324174465324809,92.78800470963978,0.559,0.797
1000,TW,TW,TW,tw,dense,deterministic,0,0.1296207853057421,0.0166362684581778,92.95658309245351,0.69,0.873
1000,TW,TW,TW,tw,dense,deterministic,1,0.1086387465228111,0.019648047292899,91.95494920578956,0.687,0.926
1000,TW,TW,TW,tw,dense,deterministic,2,0.110744694493246,0.0179401598511471,97.45769870063988,0.795,0.92
1000,TW,TW,TW,tw,dense,deterministic,3,0.1176593319569427,0.0169594148391633,95.62089305421436,0.744,0.87
1000,TW,TW,TW,tw,dense,deterministic,4,0.1048382984428326,0.0166934461599203,95.3648800123286,0.763,0.911
1000,TW,TW,TW,tw,dense,deterministic,5,0.1146292351946556,0.0202175674495666,96.16949114299074,0.762,0.924
1000,TW,TW,TW,tw,dense,deterministic,6,0.1170046593621495,0.0159380034948954,97.49189654299649,0.803,0.91
1000,TW,TW,TW,tw,dense,deterministic,7,0.1183078770229117,0.0137622090622468,94.70042332355666,0.697,0.867
1000,TW,TW,TW,tw,dense,deterministic,8,0.1118092300781595,0.0145708927370668,93.00027626170264,0.688,0.869
1000,TW,TW,TW,tw,dense,deterministic,9,0.1118312257095267,0.0261305840244287,92.09539323208614,0.723,0.903
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,0,0.1117925636647494,0.0138843788601748,95.16206712259516,0.757,0.921
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,1,0.1058216673944325,0.0224456819082004,95.8348820311198,0.814,0.928
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,2,0.0963726939267073,0.0176957744960257,96.02363521532877,0.76,0.914
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,3,0.1136475226973744,0.0115732642305488,96.73029862075845,0.817,0.929
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,4,0.1295480515270521,0.0176206159590035,97.01043920667256,0.839,0.938
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,5,0.117235946817771,0.0158370637034779,94.28893204583734,0.704,0.882
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,6,0.1186324708461608,0.0270431120853186,97.52083657725711,0.769,0.87
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,7,0.1118892803309211,0.0243152131981681,96.63435567163306,0.68,0.853
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,8,0.1063808903583313,0.0154228122064418,94.19122932684247,0.695,0.877
1000,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,9,0.1014588892528842,0.0147472985333367,90.79255376332188,0.675,0.879
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,0,0.11244925440655,0.0150201402244645,90.7677371779922,0.68,0.837
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,1,0.1005452694268377,0.0194002923527518,96.59509989801496,0.79,0.92
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,2,0.1142906293756665,0.012918712481487,94.13404200372288,0.692,0.855
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,3,0.1021070899152776,0.0155314994903099,96.65393527574966,0.812,0.911
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,4,0.1019233627709735,0.0180745462131646,93.45575794590384,0.687,0.874
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,5,0.1079568450001585,0.0186876838031764,95.0537614425579,0.772,0.904
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,6,0.1152450394939193,0.0183289706367987,96.4505966707858,0.754,0.876
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,7,0.107146760041008,0.0182992812061149,94.66219230977812,0.7,0.888
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,8,0.1084944025921879,0.0215264222769508,92.8705958257576,0.635,0.872
1000,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,9,0.1166993751932793,0.0256895470847667,92.22481549019086,0.687,0.877
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,0,0.1080267120450261,0.0302609196029369,98.6979338084639,0.663,0.841
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,1,0.1194087275637207,0.0255813204621538,98.89931512090013,0.688,0.912
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,2,0.1521979483621849,0.0598585242009055,85.3426219135226,0.518,0.654
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,3,0.1109688442540183,0.025901176911417,95.73184013138476,0.598,0.783
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,4,0.1104383240316488,0.0216596786263754,100.22434489074963,0.685,0.882
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,5,0.1175934655442197,0.0358636537264873,100.90499547452907,0.711,0.875
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,6,0.1254447551378895,0.0377762993292723,98.58055914893536,0.577,0.688
1000,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,7,0.1186786484343641,0.0341062112184544,100.70808273903944,0.69,0.903
