policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tw,20262353,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,39.31647763275979,39316.477632759794,42780.89089036852,91.90196093277551,3464.4132576087286,0.654,0.886,0.05682315508733418,1.2206361207290992e-07,4.5623254590000215,tw_support_offline,context_noise_refinement
tm_tw,20262673,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,40.096886906877714,40096.88690687771,42350.615641722725,94.67840384208088,2253.728734845012,0.736,0.913,0.06174748677956623,1.3198571698336036e-07,4.654072041999996,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263501,1000,8,2,0.0,0.45,0.0,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,42.2618468264683,42261.8468264683,43046.291866094296,98.17767104756388,784.4450396259926,0.833,0.944,0.05315036845802785,1.1846777656658837e-07,4.679965541999991,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261645,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,55.57376871463566,55573.76871463566,55573.76871463566,100.0,0.0,1.0,1.0,0.11378069535814077,0.02178238248336008,0.20664700000003222,oracle,context_noise_refinement
state_thompson,20262543,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,53.47365167595706,53473.65167595706,53304.471854535135,100.31738391833917,-169.1798214219234,0.724,0.894,0.10725958542429055,0.029865105311295857,0.21306362500001796,state_thompson,context_noise_refinement
global_ucb_tw,20262379,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,52.77120330696728,52771.20330696728,55517.21731586344,95.0537614425579,2746.014008896156,0.772,0.904,0.10795684500015855,0.01868768380317644,4.683277416999999,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262277,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,51.57388397328078,51573.883973280776,54697.70720089268,94.28893204583734,3123.8232276119015,0.704,0.882,0.11723594681777104,0.015837063703477938,4.626300417000039,local_ucb_tw_dense,context_noise_refinement
exp4,20261400,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,54.00387614196702,54003.87614196702,53519.52684602115,100.90499547452907,-484.3492959458672,0.711,0.875,0.11759346554421976,0.035863653726487366,4.710343000000023,exp4_dense,context_noise_refinement
tw,20261250,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,54.105405469377,54105.405469376994,56260.46766633062,96.16949114299074,2155.0621969536296,0.762,0.924,0.11462923519465562,0.02021756744956667,4.535285791999968,tw_dense,context_noise_refinement
tm_tw,20261570,1000,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,50.672810004902104,50672.8100049021,54336.65925240153,93.25713192914506,3663.8492474994273,0.684,0.878,0.1122597420143141,0.01972657656473772,4.634568124999987,tm_tw_dense,context_noise_refinement
