policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions,oracle_avg_reward,oracle_cum_reward,avg_reward_pct_oracle,avg_reward_gap_to_oracle,cum_reward_pct_oracle
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,3913.4490530729386,978362.2632682348,11.533411292000013,10,0,1471,54.03125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,59.588178272027335,2654.0433028899574,59.58817827202734
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,3726.467778793924,931616.9446984808,11.030514417000006,10,0,1393,56.46875,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,56.74110568869579,2841.024577168972,56.74110568869578
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,4901.059874680385,1225264.9686700962,12.399900166999998,10,0,1552,51.5,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,74.6260461229241,1666.4324812825107,74.6260461229241
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,3810.967728973824,952741.932243456,12.447305790999993,10,0,1591,50.28125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,58.02774517908178,2756.524626989072,58.02774517908178
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,4199.827897050337,1049956.9742625842,12.12911541599999,10,0,1451,54.65625000000001,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,63.94872912546508,2367.664458912559,63.94872912546508
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,0,3717.214845328646,929303.7113321614,12.461117041999955,10,0,1589,50.34375,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",6567.492355962896,1641873.088990724,56.60021578789709,2850.27751063425,56.60021578789709
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,2962.843465271961,740710.8663179902,0.0343929160000016,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,100.0,0.0,100.0
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1726.9074699082307,431726.8674770577,0.0490974580000056,0,0,0,100.0,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,58.285477790157806,1235.9359953637304,58.285477790157806
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1773.3122542298968,443328.0635574742,11.969085124999992,10,0,1501,53.09375000000001,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,59.8517024275909,1189.5312110420643,59.8517024275909
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,888.1198021942682,222029.95054856705,11.280396333,10,0,1442,54.93749999999999,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,29.97525224008914,2074.723663077693,29.975252240089144
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,2324.3546924874013,581088.6731218504,10.546944292000036,10,0,1328,58.5,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,78.45013480231387,638.4887727845598,78.45013480231388
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1405.9947792358605,351498.6948089651,11.622586749999982,10,0,1483,53.65625000000001,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,47.45423765095209,1556.8486860361006,47.45423765095209
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1562.936391248208,390734.097812052,11.064830667000024,10,0,1419,55.65625000000001,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,52.75123068659131,1399.907074023753,52.751230686591306
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,2239.9680894502603,559992.022362565,11.44877420900002,10,0,1455,54.53125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,75.6019720820672,722.8753758217008,75.60197208206719
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1643.7067540092207,410926.6885023052,12.595927916999983,10,0,1580,50.625,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,55.47734037506244,1319.1367112627404,55.47734037506244
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1638.801319803325,409700.3299508313,12.008129333,10,0,1524,52.37499999999999,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,55.311775293295774,1324.0421454686361,55.31177529329579
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,10,1,40,8,2,250,1,1121.583763389687,280395.94084742176,12.098188375000008,10,0,1575,50.78125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",2962.843465271961,740710.8663179902,37.85497872351269,1841.2597018822742,37.854978723512694
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,1224.702125107862,306175.5312769655,0.0338281249999568,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,100.0,0.0,100.0
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,484.76560179308177,121191.40044827043,0.0459160409999981,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,39.58232715162371,739.9365233147803,39.5823271516237
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,517.4254212151668,129356.3553037917,13.484427749999952,10,0,1624,66.16666666666666,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,42.24908331645102,707.2767038926952,42.24908331645102
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,403.060541230116,100765.135307529,13.372925874999964,10,0,1628,66.08333333333334,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,32.910904044901336,821.641583877746,32.910904044901336
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,561.0220937010308,140255.5234252577,12.125672375000022,10,0,1432,70.16666666666667,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,45.80886096295623,663.6800314068312,45.80886096295623
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,453.8790316778152,113469.75791945378,14.937541416999975,10,0,1820,62.083333333333336,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,37.06036123990894,770.8230934300468,37.060361239908936
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,411.6892548193418,102922.31370483544,14.347414749999984,10,0,1728,64.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,33.615460149796306,813.0128702885202,33.6154601497963
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,750.4726787224946,187618.1696806237,11.971942000000013,10,0,1431,70.1875,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,61.27797636150905,474.2294463853674,61.27797636150905
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,891.5933571888766,222898.33929721915,11.872996999999998,10,0,1410,70.625,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,72.80083368111671,333.10876791898545,72.80083368111671
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,613.2478339449049,153311.9584862262,12.412480458000005,10,0,1432,70.16666666666667,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,50.07322363312588,611.4542911629571,50.073223633125885
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,552.2684959542006,138067.12398855016,13.045384667000008,10,0,1572,67.25,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,306175.5312769655,45.09410775339034,672.4336291536614,45.09410775339033
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,4102.03207587102,1025508.0189677548,0.0347031659999856,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,100.0,0.0,100.0
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,671.23901133415,167809.7528335375,0.0462418340000567,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,16.363572954061308,3430.7930645368706,16.363572954061315
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,686.5242246299161,171631.05615747903,13.297020249999946,10,0,1599,66.6875,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,16.73619835076839,3415.507851241104,16.736198350768397
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,3417.378693524916,854344.6733812289,11.554820167000004,10,0,1371,71.4375,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,83.30940934437412,684.6533823461045,83.30940934437415
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,3788.581947320806,947145.4868302016,10.08182787499993,10,0,1264,73.66666666666667,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,92.35866217638835,313.45012855021423,92.35866217638839
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1535.9278483776536,383981.9620944134,13.422293583999933,10,0,1626,66.125,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,37.44309698142759,2566.104227493367,37.4430969814276
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2224.272477179826,556068.1192949566,13.17848374999994,10,0,1559,67.52083333333334,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,54.22367343891447,1877.7595986911942,54.22367343891448
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,704.7791197477251,176194.77993693127,11.87992158399993,10,0,1487,69.02083333333333,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,17.181219130230062,3397.2529561232955,17.18121913023007
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1551.004460842084,387751.115210521,13.776424874999975,10,0,1708,64.41666666666667,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,1025508.0189677548,37.81063707340089,2551.0276150289365,37.8106370734009
