policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions,oracle_avg_reward,oracle_cum_reward,avg_reward_pct_oracle,avg_reward_gap_to_oracle,cum_reward_pct_oracle
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1563.3774475340806,390844.36188352015,86.7552995420001,10,0,2997,68.78125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,38.699908764448644,2476.367082743119,38.699908764448644
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1949.208083743751,487302.02093593776,89.74406666599998,10,0,2919,69.59375,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,48.25077598681717,2090.5364465334487,48.25077598681716
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1885.4538278778984,471363.45696947456,87.05490533400007,10,0,2962,69.14583333333333,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,46.672600550523484,2154.290702399301,46.67260055052347
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1843.634557215684,460908.63930392097,92.20513083299988,10,0,2802,70.8125,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,45.6374046278906,2196.109973061516,45.63740462789059
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,10,3,120,8,2,250,1,1466.6687504936276,366667.1876234069,88.95089937499984,10,0,2921,69.57291666666667,"BR-SP,US-NY-NYIS,US-CAL-CISO,US-TEX-ERCO,AU-VIC,CL-SIC,JP-TK,AU-NSW,ZA,SG",4039.7445302772,1009936.1325693,36.305977754315755,2573.075779783572,36.30597775431575
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,1451.571630476839,362892.9076192097,0.0426708329996472,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,100.0,0.0,100.0
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,557.6701872880972,139417.5468220243,0.0557953340003223,0,0,0,100.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,38.418371892877474,893.9014431887417,38.41837189287748
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,569.6521891211102,142413.04728027753,95.22053745799984,10,0,3141,78.1875,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,39.24382215529938,881.9194413557287,39.24382215529938
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,965.2371877539688,241309.2969384922,84.982799333,10,0,2834,80.31944444444444,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,66.4960080155941,486.3344427228701,66.4960080155941
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,892.9994448341217,223249.86120853043,84.39444179200018,10,0,2791,80.61805555555556,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,61.519488675923824,558.5721856427172,61.519488675923824
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,519.6554865270457,129913.87163176145,97.14201958400008,10,0,3177,77.9375,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,35.79950693555094,931.9161439497932,35.79950693555094
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,596.7931587317956,149198.2896829489,95.2495785000001,10,0,3107,78.42361111111111,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,41.11358655692038,854.7784717450432,41.11358655692038
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,645.3311966971371,161332.79917428427,91.17899537500034,10,0,2918,79.73611111111111,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,44.45741313400751,806.2404337797018,44.4574131340075
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,631.3897576156854,157847.43940392137,91.26396254099971,10,0,2981,79.29861111111111,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,43.4969755786888,820.1818728611535,43.496975578688804
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,3,180,8,2,250,0,418.53174841854826,104632.93710463708,106.45454316699988,10,0,3217,77.65972222222221,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1451.571630476839,362892.9076192097,28.833006903080715,1033.0398820582907,28.83300690308072
