policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,mix_trust_min,mix_trust_max,gate_scale_mult,beta_gate_concentration,regions,oracle_avg_reward,avg_reward_pct_oracle,avg_reward_gap_to_oracle
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,988.409070913842,247102.2677284605,13.347289125,10,0,1574,67.20833333333334,0.4,0.98,1.0,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,80.70607951519565,236.29305419402
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1938.4878224657584,484621.9556164396,13.749498792,10,0,1676,65.08333333333334,0.4,0.98,1.0,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,47.25676900159642,2163.5442534052618
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1629.9933959392224,407498.3489848056,12.937575958000004,10,0,1513,68.47916666666667,0.4,0.98,1.0,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,39.736242081751925,2472.038679931798
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,414.4250092499245,103606.25231248113,13.476740375,10,0,1574,67.20833333333334,0.4,0.98,2.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,33.838841360173625,810.2771158579375
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,611.2627726281609,152815.69315704022,12.816156125,10,0,1481,69.14583333333333,0.4,0.98,2.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,49.911138398190154,613.4393524797011
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1761.092207796382,440273.0519490955,13.616277792000002,10,0,1629,66.0625,0.4,0.98,2.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,42.93219007612059,2340.9398680746385
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2169.2344473981534,542308.6118495384,13.172645416999998,10,0,1521,68.3125,0.4,0.98,2.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,52.88194746594079,1932.797628472867
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,430.8989291754446,107724.73229386116,12.273436209,10,0,1464,69.5,0.4,0.98,2.0,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,35.183978237769,793.8031959324173
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,941.8475078119168,235461.8769529792,11.887323708,10,0,1357,71.72916666666667,0.4,0.98,2.0,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,76.90421111410795,282.8546172959452
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,519.0301809930677,129757.54524826692,13.390945582999995,10,0,1629,66.0625,0.4,0.98,2.0,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,12.65300152200437,3583.0018948779525
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2021.9458111568624,505486.45278921566,13.274258166000005,10,0,1553,67.64583333333334,0.4,0.98,2.0,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,49.291321319751624,2080.086264714158
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,591.715945364971,147928.98634124277,13.467877624999998,10,0,1548,67.75,0.4,0.98,2.0,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,48.31509092979302,632.986179742891
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,1071.5237559185891,267880.9389796473,13.319596874999998,10,0,1539,67.9375,0.4,0.98,2.0,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,87.49260199284932,153.17836918927287
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1647.982502965663,411995.6257414157,14.714961165999998,10,0,1692,64.75,0.4,0.98,2.0,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,40.17478343622489,2454.0495729053573
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1707.938035963404,426984.508990851,12.824922832999995,10,0,1484,69.08333333333334,0.4,0.98,2.0,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,41.63638909626865,2394.094039907616
