policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
oracle,20261641,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9637.017586665856,963701.7586665855,1026210.379995306,93.90879077553217,62508.621328720474,0.89,0.97,0.27541144304622417,0.03573467763018404,0.021946500000012747,oracle,context_noise_refinement
state_thompson,20262539,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4229.789960040564,422978.9960040565,1042638.6765668124,40.56812829894594,619659.680562756,0.28,0.54,0.2695801419235676,0.03504001652967416,0.024143417000004774,state_thompson,context_noise_refinement
global_ucb_tw,20262375,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4182.975311085409,418297.5311085409,853592.101839109,49.00438162528647,435294.5707305681,0.36,0.54,0.2733015869497967,0.03468955553085368,0.590567582999995,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262273,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5381.754695696449,538175.4695696449,1032959.9715583265,52.100321831227575,494784.5019886816,0.4,0.65,0.27083176244637647,0.0353467423367566,0.5906127089999984,local_ucb_tw_dense,context_noise_refinement
exp4,20261396,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6916.727232363232,691672.7232363232,977404.2561037595,70.76628927252148,285731.5328674363,0.57,0.74,0.2749780357115514,0.036836174049440805,0.600005791000001,exp4_dense,context_noise_refinement
tw,20261246,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6107.915950406392,610791.5950406392,1029879.2074479234,59.30711005946048,419087.6124072842,0.46,0.72,0.2711175681879651,0.033513227341686685,0.5843341670000086,tw_dense,context_noise_refinement
tm_tw,20261566,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6965.466851778714,696546.6851778714,991023.7820189018,70.28556708890223,294477.0968410304,0.49,0.67,0.2649215035999736,0.03384544188574146,0.5931116669999881,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262394,100,20,2,0.0,0.45,0.2,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6008.246145539328,600824.6145539328,940799.5412094721,63.86319170410365,339974.9266555393,0.48,0.75,0.2709908722602708,0.03561407438654229,0.5947777920000021,tm_tw_refined_dense,context_noise_refinement
tw,20262070,100,20,2,0.0,0.45,0.2,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,3891.62251303126,389162.251303126,975662.6729005938,39.88696730050839,586500.4215974679,0.28,0.5,0.19277535762911127,0.026270549052150607,0.5827649999999949,tw_gated_offline,context_noise_refinement
tm_tw,20262390,100,20,2,0.0,0.45,0.2,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7249.117947577354,724911.7947577354,1017943.2880811092,71.21337733109301,293031.4933233737,0.57,0.7,0.19674423164290883,0.026484134797364698,0.5896063329999777,tm_tw_gated_offline,context_noise_refinement
