S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
100,0.3,1.0,1.0,deterministic,0.1,tm_tw_support_offline,3,57.95382514162308,0.07378803803743995,0.0007228237536767243,0.4333333333333333,0.6333333333333334,430976.45710494166
100,0.3,1.0,1.0,deterministic,0.1,tw_dense,3,48.26058175258529,0.3765419250182984,0.009635041982652364,0.31333333333333335,0.5033333333333333,549377.9974919063
100,0.3,1.0,1.0,deterministic,0.1,tw_gated_offline,3,47.061511155624146,0.3192419195575211,0.008168899946628535,0.26333333333333336,0.4666666666666666,538737.9829183597
100,0.3,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,3,33.28057711147238,0.32002058235396363,0.008188789957604881,0.27666666666666667,0.51,683842.1351165929
100,0.3,1.0,1.0,deterministic,0.1,tw_support_offline,3,36.011488582419084,0.0763738898355547,0.0006929717190444737,0.23666666666666666,0.4633333333333333,656263.2645515451
20,0.0,1.0,1.0,deterministic,0.1,exp4_dense,3,83.86821087886831,0.2455991423464896,0.02930461731959592,0.5766666666666667,0.8066666666666666,162521.28604634825
20,0.0,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,3,74.1391641363295,0.23104160345077887,0.02531698892326567,0.48333333333333334,0.68,312096.77254582674
20,0.0,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,3,69.38710515277772,0.2301227461305008,0.024515882965241025,0.4466666666666666,0.68,340617.6554228092
20,0.0,1.0,1.0,deterministic,0.1,oracle,3,100.0,0.23087771381485814,0.026145940246154225,1.0,1.0,0.0
20,0.0,1.0,1.0,deterministic,0.1,state_thompson,3,55.88953988340446,0.23327509733492127,0.02609164259948853,0.41,0.6166666666666667,466817.99440971203
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_dense,3,52.033017994663794,0.23726728425809526,0.02550166721850031,0.44,0.6900000000000001,569904.7911730087
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,3,52.9739057330768,0.16416137570444408,0.019160014099851852,0.3666666666666667,0.6666666666666666,486144.1635493592
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,3,55.99107789903917,0.15679529103499448,0.018403556361354684,0.44,0.7433333333333332,462506.0834464417
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,3,85.44156100243576,0.24610050382082946,0.02796321787263299,0.5666666666666667,0.7733333333333333,192732.5297619947
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,3,81.38905341393854,0.15762687866671996,0.018977932613613472,0.5666666666666668,0.7999999999999999,209508.0522723802
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,3,88.09463796819982,0.1606451303811283,0.01928645761097888,0.49333333333333335,0.8066666666666666,129685.7939418027
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,3,78.79951912825824,0.08642729613552623,3.075707474783994e-07,0.5233333333333333,0.7466666666666667,237425.62456849252
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_support_offline,3,62.859404861589155,0.09117803900290133,3.077449270236119e-07,0.4033333333333333,0.62,357821.4720550664
20,0.0,1.0,1.0,deterministic,0.1,tw_dense,3,60.63811083419054,0.23563245957082732,0.024739982279568584,0.36333333333333334,0.64,443886.1621723413
20,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline,3,66.04221528984871,0.16018567065014852,0.018591201057129098,0.43,0.6633333333333333,359383.49895928334
20,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,3,45.10285301900198,0.15769593577265573,0.018556931041845207,0.4366666666666667,0.6166666666666667,581130.2587870561
20,0.0,1.0,1.0,deterministic,0.1,tw_support_offline,3,58.55631862832714,0.08834754737546924,2.996942897232759e-07,0.4566666666666667,0.64,412928.69939081447
20,0.1,1.0,1.0,deterministic,0.1,exp4_dense,3,82.08021490512427,0.2606320405942328,0.032739272694336886,0.57,0.7866666666666666,196341.24078518548
20,0.1,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,3,57.33832932209963,0.2503281965700314,0.029673985719991424,0.33666666666666667,0.5800000000000001,471645.1679088336
20,0.1,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,3,59.976865607301356,0.250022337731333,0.02979253594981127,0.36999999999999994,0.6166666666666666,357611.60108871973
20,0.1,1.0,1.0,deterministic,0.1,oracle,3,95.20311114189097,0.24643824673797335,0.030488367473388872,0.91,0.9733333333333333,53078.05303908853
20,0.1,1.0,1.0,deterministic,0.1,state_thompson,3,63.61461354890349,0.24716171594469274,0.030240871600001412,0.36000000000000004,0.5566666666666666,361857.5390442948
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_dense,3,56.189355849996694,0.2515290357008541,0.03006836659404419,0.38999999999999996,0.5966666666666667,449369.17874680535
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,3,72.24097292115322,0.173589334286491,0.021862537263429117,0.53,0.7166666666666667,306223.4741938344
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_gated_offline_low_rank,3,52.69999167415366,0.17805585637461852,0.02249812119451551,0.32666666666666666,0.6233333333333333,507969.2775759706
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_dense,3,79.93037147103374,0.2539296217008411,0.03142994512752002,0.54,0.7466666666666667,206518.44032223476
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline,3,87.70938629819231,0.17341528822924182,0.022412933288662187,0.5466666666666666,0.7633333333333333,145058.8704244812
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_gated_offline_low_rank,3,80.58615484075712,0.17411097013619217,0.022301616155657334,0.5266666666666666,0.79,187508.88374237448
20,0.1,1.0,1.0,deterministic,0.1,tm_tw_refined_support_offline,3,78.99926884849945,0.08937188401834222,0.004299378471005691,0.5133333333333333,0.7333333333333334,218407.82870301922
